Sinusoidal Grid
 Bounding Coordinates of MODLAND Tiles
 ntile_vert = 18
 ntile_horiz = 36
 iv  ih    lon_min    lon_max   lat_min   lat_max
  4  26   104.4326   140.0281   40.0000   50.0000
  4  27   117.4867   155.5853   40.0000   50.0000
  4  28   130.5407   171.1426   40.0000   50.0000
  4  29   143.5948   180.0000   40.0000   50.0000
  4  30   156.6489   180.0000   40.0000   48.1917
  4  31   169.7029   180.0000   40.0000   43.7583
  4  32  -999.0000  -999.0000  -99.0000  -99.0000
  4  33  -999.0000  -999.0000  -99.0000  -99.0000
  4  34  -999.0000  -999.0000  -99.0000  -99.0000
  4  35  -999.0000  -999.0000  -99.0000  -99.0000
  5   0  -999.0000  -999.0000  -99.0000  -99.0000
  5   1  -999.0000  -999.0000  -99.0000  -99.0000
  5   2  -180.0000  -173.1955   30.0000   33.5583
  5   3  -180.0000  -161.6485   30.0000   38.9500
  5   4  -180.0000  -150.1014   30.0000   40.0000
  5   5  -169.7029  -138.5544   30.0000   40.0000
  5   6  -156.6489  -127.0074   30.0000   40.0000
  5   7  -143.5948  -115.4604   30.0000   40.0000
  5   8  -130.5407  -103.9134   30.0000   40.0000
  5   9  -117.4867   -92.3664   30.0000   40.0000
  5  10  -104.4326   -80.8194   30.0000   40.0000
  5  11   -91.3785   -69.2724   30.0000   40.0000
  5  12   -78.3244   -57.7254   30.0000   40.0000
  5  13   -65.2704   -46.1784   30.0000   40.0000
  5  14   -52.2163   -34.6314   30.0000   40.0000
  5  15   -39.1622   -23.0844   30.0000   40.0000
  5  16   -26.1081   -11.5374   30.0000   40.0000
  5  17   -13.0541     0.0109   30.0000   40.0000
  5  18     0.0000    13.0650   30.0000   40.0000
  5  19    11.5470    26.1190   30.0000   40.0000
  5  20    23.0940    39.1731   30.0000   40.0000
  5  21    34.6410    52.2272   30.0000   40.0000
  5  22    46.1880    65.2812   30.0000   40.0000
  5  23    57.7350    78.3353   30.0000   40.0000
  5  24    69.2820    91.3894   30.0000   40.0000
  5  25    80.8290   104.4435   30.0000   40.0000
  5  26    92.3760   117.4975   30.0000   40.0000
  5  27   103.9230   130.5516   30.0000   40.0000
  5  28   115.4701   143.6057   30.0000   40.0000
  5  29   127.0171   156.6598   30.0000   40.0000
  5  30   138.5641   169.7138   30.0000   40.0000
  5  31   150.1111   180.0000   30.0000   40.0000
  5  32   161.6581   180.0000   30.0000   38.9417
  5  33   173.2051   180.0000   30.0000   33.5583
  5  34  -999.0000  -999.0000  -99.0000  -99.0000
  5  35  -999.0000  -999.0000  -99.0000  -99.0000
  6   0  -999.0000  -999.0000  -99.0000  -99.0000
  6   1  -180.0000  -170.2596   20.0000   27.2667
  6   2  -180.0000  -159.6178   20.0000   30.0000
  6   3  -173.2051  -148.9760   20.0000   30.0000
  6   4  -161.6581  -138.3342   20.0000   30.0000
  6   5  -150.1111  -127.6925   20.0000   30.0000
  6   6  -138.5641  -117.0507   20.0000   30.0000
  6   7  -127.0171  -106.4089   20.0000   30.0000
  6   8  -115.4701   -95.7671   20.0000   30.0000
  6   9  -103.9230   -85.1254   20.0000   30.0000
  6  10   -92.3760   -74.4836   20.0000   30.0000
  6  11   -80.8290   -63.8418   20.0000   30.0000
  6  12   -69.2820   -53.2000   20.0000   30.0000
  6  13   -57.7350   -42.5582   20.0000   30.0000
  6  14   -46.1880   -31.9165   20.0000   30.0000
  6  15   -34.6410   -21.2747   20.0000   30.0000
  6  16   -23.0940   -10.6329   20.0000   30.0000
  6  17   -11.5470     0.0096   20.0000   30.0000
  6  18     0.0000    11.5566   20.0000   30.0000
  6  19    10.6418    23.1036   20.0000   30.0000
  6  20    21.2836    34.6506   20.0000   30.0000
  6  21    31.9253    46.1976   20.0000   30.0000
  6  22    42.5671    57.7446   20.0000   30.0000
  6  23    53.2089    69.2917   20.0000   30.0000
  6  24    63.8507    80.8387   20.0000   30.0000
  6  25    74.4924    92.3857   20.0000   30.0000
  6  26    85.1342   103.9327   20.0000   30.0000
  6  27    95.7760   115.4797   20.0000   30.0000
  6  28   106.4178   127.0267   20.0000   30.0000
  6  29   117.0596   138.5737   20.0000   30.0000
  6  30   127.7013   150.1207   20.0000   30.0000
  6  31   138.3431   161.6677   20.0000   30.0000
  6  32   148.9849   173.2147   20.0000   30.0000
  6  33   159.6267   180.0000   20.0000   30.0000
  6  34   170.2684   180.0000   20.0000   27.2667
  6  35  -999.0000  -999.0000  -99.0000  -99.0000
  7   0  -180.0000  -172.6141   10.0000   19.1917
  7   1  -180.0000  -162.4598   10.0000   20.0000
  7   2  -170.2684  -152.3055   10.0000   20.0000
  7   3  -159.6267  -142.1513   10.0000   20.0000
  7   4  -148.9849  -131.9970   10.0000   20.0000
  7   5  -138.3431  -121.8427   10.0000   20.0000
  7   6  -127.7013  -111.6885   10.0000   20.0000
  7   7  -117.0596  -101.5342   10.0000   20.0000
  7   8  -106.4178   -91.3799   10.0000   20.0000
  7   9   -95.7760   -81.2257   10.0000   20.0000
  7  10   -85.1342   -71.0714   10.0000   20.0000
  7  11   -74.4924   -60.9171   10.0000   20.0000
  7  12   -63.8507   -50.7629   10.0000   20.0000
  7  13   -53.2089   -40.6086   10.0000   20.0000
  7  14   -42.5671   -30.4543   10.0000   20.0000
  7  15   -31.9253   -20.3001   10.0000   20.0000
  7  16   -21.2836   -10.1458   10.0000   20.0000
  7  17   -10.6418     0.0089   10.0000   20.0000
  7  18     0.0000    10.6506   10.0000   20.0000
  7  19    10.1543    21.2924   10.0000   20.0000
  7  20    20.3085    31.9342   10.0000   20.0000
  7  21    30.4628    42.5760   10.0000   20.0000
  7  22    40.6171    53.2178   10.0000   20.0000
  7  23    50.7713    63.8595   10.0000   20.0000
  7  24    60.9256    74.5013   10.0000   20.0000
  7  25    71.0799    85.1431   10.0000   20.0000
  7  26    81.2341    95.7849   10.0000   20.0000
  7  27    91.3884   106.4266   10.0000   20.0000
  7  28   101.5427   117.0684   10.0000   20.0000
  7  29   111.6969   127.7102   10.0000   20.0000
  7  30   121.8512   138.3520   10.0000   20.0000
  7  31   132.0055   148.9938   10.0000   20.0000
  7  32   142.1597   159.6355   10.0000   20.0000
  7  33   152.3140   170.2773   10.0000   20.0000
  7  34   162.4683   180.0000   10.0000   20.0000
  7  35   172.6225   180.0000   10.0000   19.1833
  8   0  -180.0000  -169.9917   -0.0000   10.0000
  8   1  -172.6225  -159.9917   -0.0000   10.0000
  8   2  -162.4683  -149.9917   -0.0000   10.0000
  8   3  -152.3140  -139.9917   -0.0000   10.0000
  8   4  -142.1597  -129.9917   -0.0000   10.0000
  8   5  -132.0055  -119.9917   -0.0000   10.0000
  8   6  -121.8512  -109.9917   -0.0000   10.0000
  8   7  -111.6969   -99.9917   -0.0000   10.0000
  8   8  -101.5427   -89.9917   -0.0000   10.0000
  8   9   -91.3884   -79.9917   -0.0000   10.0000
  8  10   -81.2341   -69.9917   -0.0000   10.0000
  8  11   -71.0799   -59.9917   -0.0000   10.0000
  8  12   -60.9256   -49.9917   -0.0000   10.0000
  8  13   -50.7713   -39.9917   -0.0000   10.0000
  8  14   -40.6171   -29.9917   -0.0000   10.0000
  8  15   -30.4628   -19.9917   -0.0000   10.0000
  8  16   -20.3085    -9.9917   -0.0000   10.0000
  8  17   -10.1543     0.0085   -0.0000   10.0000
  8  18     0.0000    10.1627   -0.0000   10.0000
  8  19    10.0000    20.3170   -0.0000   10.0000
  8  20    20.0000    30.4713   -0.0000   10.0000
  8  21    30.0000    40.6255   -0.0000   10.0000
  8  22    40.0000    50.7798   -0.0000   10.0000
  8  23    50.0000    60.9341   -0.0000   10.0000
  8  24    60.0000    71.0883   -0.0000   10.0000
  8  25    70.0000    81.2426   -0.0000   10.0000
  8  26    80.0000    91.3969   -0.0000   10.0000
  8  27    90.0000   101.5511   -0.0000   10.0000
  8  28   100.0000   111.7054   -0.0000   10.0000
  8  29   110.0000   121.8597   -0.0000   10.0000
  8  30   120.0000   132.0139   -0.0000   10.0000
  8  31   130.0000   142.1682   -0.0000   10.0000
  8  32   140.0000   152.3225   -0.0000   10.0000
  8  33   150.0000   162.4767   -0.0000   10.0000
  8  34   160.0000   172.6310   -0.0000   10.0000
  8  35   170.0000   180.0000   -0.0000   10.0000
  9   0  -180.0000  -169.9917  -10.0000   -0.0000
  9   1  -172.6225  -159.9917  -10.0000   -0.0000
  9   2  -162.4683  -149.9917  -10.0000   -0.0000
  9   3  -152.3140  -139.9917  -10.0000   -0.0000
  9   4  -142.1597  -129.9917  -10.0000   -0.0000
  9   5  -132.0055  -119.9917  -10.0000   -0.0000
  9   6  -121.8512  -109.9917  -10.0000   -0.0000
  9   7  -111.6969   -99.9917  -10.0000   -0.0000
  9   8  -101.5427   -89.9917  -10.0000   -0.0000
  9   9   -91.3884   -79.9917  -10.0000   -0.0000
  9  10   -81.2341   -69.9917  -10.0000   -0.0000
  9  11   -71.0799   -59.9917  -10.0000   -0.0000
  9  12   -60.9256   -49.9917  -10.0000   -0.0000
  9  13   -50.7713   -39.9917  -10.0000   -0.0000
  9  14   -40.6171   -29.9917  -10.0000   -0.0000
  9  15   -30.4628   -19.9917  -10.0000   -0.0000
  9  16   -20.3085    -9.9917  -10.0000   -0.0000
  9  17   -10.1543     0.0085  -10.0000   -0.0000
  9  18     0.0000    10.1627  -10.0000   -0.0000
  9  19    10.0000    20.3170  -10.0000   -0.0000
  9  20    20.0000    30.4713  -10.0000   -0.0000
  9  21    30.0000    40.6255  -10.0000   -0.0000
  9  22    40.0000    50.7798  -10.0000   -0.0000
  9  23    50.0000    60.9341  -10.0000   -0.0000
  9  24    60.0000    71.0883  -10.0000   -0.0000
  9  25    70.0000    81.2426  -10.0000   -0.0000
  9  26    80.0000    91.3969  -10.0000   -0.0000
  9  27    90.0000   101.5511  -10.0000   -0.0000
  9  28   100.0000   111.7054  -10.0000   -0.0000
  9  29   110.0000   121.8597  -10.0000   -0.0000
  9  30   120.0000   132.0139  -10.0000   -0.0000
  9  31   130.0000   142.1682  -10.0000   -0.0000
  9  32   140.0000   152.3225  -10.0000   -0.0000
  9  33   150.0000   162.4767  -10.0000   -0.0000
  9  34   160.0000   172.6310  -10.0000   -0.0000
  9  35   170.0000   180.0000  -10.0000   -0.0000
 10   0  -180.0000  -172.6141  -19.1917  -10.0000
 10   1  -180.0000  -162.4598  -20.0000  -10.0000
 10   2  -170.2684  -152.3055  -20.0000  -10.0000
 10   3  -159.6267  -142.1513  -20.0000  -10.0000
 10   4  -148.9849  -131.9970  -20.0000  -10.0000
 10   5  -138.3431  -121.8427  -20.0000  -10.0000
 10   6  -127.7013  -111.6885  -20.0000  -10.0000
 10   7  -117.0596  -101.5342  -20.0000  -10.0000
 10   8  -106.4178   -91.3799  -20.0000  -10.0000
 10   9   -95.7760   -81.2257  -20.0000  -10.0000
 10  10   -85.1342   -71.0714  -20.0000  -10.0000
 10  11   -74.4924   -60.9171  -20.0000  -10.0000
 10  12   -63.8507   -50.7629  -20.0000  -10.0000
 10  13   -53.2089   -40.6086  -20.0000  -10.0000
 10  14   -42.5671   -30.4543  -20.0000  -10.0000
 10  15   -31.9253   -20.3001  -20.0000  -10.0000
 10  16   -21.2836   -10.1458  -20.0000  -10.0000
 10  17   -10.6418     0.0089  -20.0000  -10.0000
 10  18     0.0000    10.6506  -20.0000  -10.0000
 10  19    10.1543    21.2924  -20.0000  -10.0000
 10  20    20.3085    31.9342  -20.0000  -10.0000
 10  21    30.4628    42.5760  -20.0000  -10.0000
 10  22    40.6171    53.2178  -20.0000  -10.0000
 10  23    50.7713    63.8595  -20.0000  -10.0000
 10  24    60.9256    74.5013  -20.0000  -10.0000
 10  25    71.0799    85.1431  -20.0000  -10.0000
 10  26    81.2341    95.7849  -20.0000  -10.0000
 10  27    91.3884   106.4266  -20.0000  -10.0000
 10  28   101.5427   117.0684  -20.0000  -10.0000
 10  29   111.6969   127.7102  -20.0000  -10.0000
 10  30   121.8512   138.3520  -20.0000  -10.0000
 10  31   132.0055   148.9938  -20.0000  -10.0000
 10  32   142.1597   159.6355  -20.0000  -10.0000
 10  33   152.3140   170.2773  -20.0000  -10.0000
 10  34   162.4683   180.0000  -20.0000  -10.0000
 10  35   172.6225   180.0000  -19.1833  -10.0000
 11   0  -999.0000  -999.0000  -99.0000  -99.0000
 11   1  -180.0000  -170.2596  -27.2667  -20.0000
 11   2  -180.0000  -159.6178  -30.0000  -20.0000
 11   3  -173.2051  -148.9760  -30.0000  -20.0000
 11   4  -161.6581  -138.3342  -30.0000  -20.0000
 11   5  -150.1111  -127.6925  -30.0000  -20.0000
 11   6  -138.5641  -117.0507  -30.0000  -20.0000
 11   7  -127.0171  -106.4089  -30.0000  -20.0000
 11   8  -115.4701   -95.7671  -30.0000  -20.0000
 11   9  -103.9230   -85.1254  -30.0000  -20.0000
 11  10   -92.3760   -74.4836  -30.0000  -20.0000
 11  11   -80.8290   -63.8418  -30.0000  -20.0000
 11  12   -69.2820   -53.2000  -30.0000  -20.0000
 11  13   -57.7350   -42.5582  -30.0000  -20.0000
 11  14   -46.1880   -31.9165  -30.0000  -20.0000
 11  15   -34.6410   -21.2747  -30.0000  -20.0000
 11  16   -23.0940   -10.6329  -30.0000  -20.0000
 11  17   -11.5470     0.0096  -30.0000  -20.0000
 11  18     0.0000    11.5566  -30.0000  -20.0000
 11  19    10.6418    23.1036  -30.0000  -20.0000
 11  20    21.2836    34.6506  -30.0000  -20.0000
 11  21    31.9253    46.1976  -30.0000  -20.0000
 11  22    42.5671    57.7446  -30.0000  -20.0000
 11  23    53.2089    69.2917  -30.0000  -20.0000
 11  24    63.8507    80.8387  -30.0000  -20.0000
 11  25    74.4924    92.3857  -30.0000  -20.0000
 11  26    85.1342   103.9327  -30.0000  -20.0000
 11  27    95.7760   115.4797  -30.0000  -20.0000
 11  28   106.4178   127.0267  -30.0000  -20.0000
 11  29   117.0596   138.5737  -30.0000  -20.0000
 11  30   127.7013   150.1207  -30.0000  -20.0000
 11  31   138.3431   161.6677  -30.0000  -20.0000
 11  32   148.9849   173.2147  -30.0000  -20.0000
 11  33   159.6267   180.0000  -30.0000  -20.0000
 11  34   170.2684   180.0000  -27.2667  -20.0000
 11  35  -999.0000  -999.0000  -99.0000  -99.0000
 12   0  -999.0000  -999.0000  -99.0000  -99.0000
 12   1  -999.0000  -999.0000  -99.0000  -99.0000
 12   2  -180.0000  -173.1955  -33.5583  -30.0000
 12   3  -180.0000  -161.6485  -38.9500  -30.0000
 12   4  -180.0000  -150.1014  -40.0000  -30.0000
 12   5  -169.7029  -138.5544  -40.0000  -30.0000
 12   6  -156.6489  -127.0074  -40.0000  -30.0000
 12   7  -143.5948  -115.4604  -40.0000  -30.0000
 12   8  -130.5407  -103.9134  -40.0000  -30.0000
 12   9  -117.4867   -92.3664  -40.0000  -30.0000
 12  10  -104.4326   -80.8194  -40.0000  -30.0000
 12  11   -91.3785   -69.2724  -40.0000  -30.0000
 12  12   -78.3244   -57.7254  -40.0000  -30.0000
 12  13   -65.2704   -46.1784  -40.0000  -30.0000
 12  14   -52.2163   -34.6314  -40.0000  -30.0000
 12  15   -39.1622   -23.0844  -40.0000  -30.0000
 12  16   -26.1081   -11.5374  -40.0000  -30.0000
 12  17   -13.0541     0.0109  -40.0000  -30.0000
 12  18     0.0000    13.0650  -40.0000  -30.0000
 12  19    11.5470    26.1190  -40.0000  -30.0000
 12  20    23.0940    39.1731  -40.0000  -30.0000
 12  21    34.6410    52.2272  -40.0000  -30.0000
 12  22    46.1880    65.2812  -40.0000  -30.0000
 12  23    57.7350    78.3353  -40.0000  -30.0000
 12  24    69.2820    91.3894  -40.0000  -30.0000
 12  25    80.8290   104.4435  -40.0000  -30.0000
 12  26    92.3760   117.4975  -40.0000  -30.0000
 12  27   103.9230   130.5516  -40.0000  -30.0000
 12  28   115.4701   143.6057  -40.0000  -30.0000
 12  29   127.0171   156.6598  -40.0000  -30.0000
 12  30   138.5641   169.7138  -40.0000  -30.0000
 12  31   150.1111   180.0000  -40.0000  -30.0000
 12  32   161.6581   180.0000  -38.9417  -30.0000
 12  33   173.2051   180.0000  -33.5583  -30.0000
 12  34  -999.0000  -999.0000  -99.0000  -99.0000
 12  35  -999.0000  -999.0000  -99.0000  -99.0000
 13   0  -999.0000  -999.0000  -99.0000  -99.0000
 13   1  -999.0000  -999.0000  -99.0000  -99.0000
 13   2  -999.0000  -999.0000  -99.0000  -99.0000
 13   3  -999.0000  -999.0000  -99.0000  -99.0000
 13   4  -180.0000  -169.6921  -43.7667  -40.0000
 13   5  -180.0000  -156.6380  -48.1917  -40.0000
 13   6  -180.0000  -143.5839  -50.0000  -40.0000
 13   7  -171.1296  -130.5299  -50.0000  -40.0000
 13   8  -155.5724  -117.4758  -50.0000  -40.0000
 13   9  -140.0151  -104.4217  -50.0000  -40.0000
 13  10  -124.4579   -91.3676  -50.0000  -40.0000
 13  11  -108.9007   -78.3136  -50.0000  -40.0000
 13  12   -93.3434   -65.2595  -50.0000  -40.0000
 13  13   -77.7862   -52.2054  -50.0000  -40.0000
 13  14   -62.2290   -39.1513  -50.0000  -40.0000
 13  15   -46.6717   -26.0973  -50.0000  -40.0000
 13  16   -31.1145   -13.0432  -50.0000  -40.0000
 13  17   -15.5572     0.0130  -50.0000  -40.0000
 13  18     0.0000    15.5702  -50.0000  -40.0000
 13  19    13.0541    31.1274  -50.0000  -40.0000
 13  20    26.1081    46.6847  -50.0000  -40.0000
 13  21    39.1622    62.2419  -50.0000  -40.0000
 13  22    52.2163    77.7992  -50.0000  -40.0000
 13  23    65.2704    93.3564  -50.0000  -40.0000
 13  24    78.3244   108.9136  -50.0000  -40.0000
 13  25    91.3785   124.4709  -50.0000  -40.0000
 13  26   104.4326   140.0281  -50.0000  -40.0000
 13  27   117.4867   155.5853  -50.0000  -40.0000
 13  28   130.5407   171.1426  -50.0000  -40.0000
 13  29   143.5948   180.0000  -50.0000  -40.0000
 13  30   156.6489   180.0000  -48.1917  -40.0000
 13  31   169.7029   180.0000  -43.7583  -40.0000
 13  32  -999.0000  -999.0000  -99.0000  -99.0000
 13  33  -999.0000  -999.0000  -99.0000  -99.0000
 13  34  -999.0000  -999.0000  -99.0000  -99.0000
 13  35  -999.0000  -999.0000  -99.0000  -99.0000
 14   0  -999.0000  -999.0000  -99.0000  -99.0000
 14   1  -999.0000  -999.0000  -99.0000  -99.0000
 14   2  -999.0000  -999.0000  -99.0000  -99.0000
 14   3  -999.0000  -999.0000  -99.0000  -99.0000
 14   4  -999.0000  -999.0000  -99.0000  -99.0000
 14   5  -999.0000  -999.0000  -99.0000  -99.0000
 14   6  -180.0000  -171.1167  -52.3333  -50.0000
